01/03/2022,"a",15.48
17/03/2022,"a",5.47
31/03/2022,"b",12.29
05/06/2022,"c",0.52
12/09/2022,"d2",5.85
08/10/2022,"r",153.1
14/10/2022,"f",12.0
01/11/2022,"f",35.18
27/12/2022,"f£",1.84
16/03/2023,"od",3.25
01/04/2023,"d12",38.1
12/06/2023,"d2",7.41
03/08/2023,"c!",9.15
26/08/2023,"kl",15.25
28/09/2023,"tgr",16.99
24/11/2023,"btvfg",14.2
25/12/2023,"fvd2",1.58
07/02/2024,"fvd",4.78
15/02/2024,"nyh",15.17
21/02/2024,"umy",55.12
29/02/2024,"sa",60.99
02/04/2024,"vfd",1.51
12/05/2024,"sds",15.45
28/05/2024,"frtrg",21.21
01/06/2024,"egsdf",9.99
